sig,m,eci,d,diam
G`?KZc,10,52,5,3
G?C^?{,10,52,5,3
G?G\Qk,10,52,5,3
G@?G]{,10,52,5,3
GG?O\{,10,52,5,3
G@@GvK,10,52,5,3
G?EBJw,10,52,5,3
GG?[Rk,10,52,5,3
G?D`]c,10,52,5,3
G?CZC{,10,52,5,3
GA?g|o,10,53,5,3
G?D`sw,10,53,5,3
G@CMNG,10,53,5,3
G?_qrW,10,53,5,3
G?D`uW,10,53,5,3
G@O\EK,10,53,5,3
GG_OzW,10,53,5,3
G@O\A[,10,53,5,3
GA?huW,10,53,5,3
G?_axw,10,53,5,3
G?_ipk,10,53,5,3
G?IQrW,10,53,5,3
G?CZNO,10,53,5,3
G@OKnG,10,53,5,3
GAC`]W,10,53,5,3
G?O_{{,10,53,5,4
G?StEK,10,53,5,3
G?G]fG,10,53,5,3
G`?G~G,10,53,5,3
GA?X^O,10,53,5,3
GGB?xs,10,53,5,3
G?Opsw,10,53,5,3
G_h_ok,10,54,5,3
G?GIk{,10,54,5,4
G?EJJo,10,54,5,3
G_KsQK,10,54,5,3
G@AIP{,10,54,5,4
G?_gyk,10,54,5,4
G?`Hpk,10,54,5,3
G@`@W{,10,54,5,4
G??Dzw,10,54,5,4
GQo_g[,10,54,5,3
G@@KvG,10,54,5,3
G@KsQK,10,54,5,3
G?`@xw,10,54,5,4
GIA@W{,10,55,5,4
G@`?xw,10,55,5,4
GCO_w{,10,55,5,4
G?_WzK,10,55,5,4
G??H}w,10,55,5,4
G?@Xs[,10,55,5,4
G??a|w,10,55,5,4
G@_QX[,10,55,5,4
G@CIL[,10,55,5,4
G?_ihs,10,55,5,4
G?@_|s,10,56,5,4
G@WSI[,10,56,5,4
G@AIrW,10,56,5,4
G@?LYw,10,56,5,4
G??g}s,10,56,5,4
G??}O{,10,56,5,4
G?GQ\w,10,56,5,4
G?CTZW,10,56,5,4
G?HPsw,10,56,5,4
G?XPc[,10,56,5,3
GH@CW{,10,56,5,4
G?Gqsw,10,56,5,4
G?GR[w,10,56,5,4
G??tYw,10,56,5,4
G?DPS{,10,57,5,4
G@@Kp[,10,57,5,4
G??Zsw,10,57,5,4
G@?]P[,10,57,5,4
G?Aap{,10,57,5,4
GA?kP{,10,57,5,4
G??i|o,10,57,5,4
G?`@h{,10,57,5,4
G?_ah{,10,57,5,4
G?@`}o,10,57,5,4
GA?H[{,10,57,5,4
GCSqPK,10,57,5,3
G?@@|s,10,57,5,4
GB__]K,10,57,5,4
G@?ZUW,10,57,5,4
G?xPcK,10,57,5,3
G??{qs,10,57,5,4
G??Xuw,10,57,5,4
G?_ZbW,10,57,5,4
G_hP_[,10,57,5,3
GCSRHW,10,57,5,4
G?DL@{,10,57,5,4
GCTPPK,10,57,5,4
GQ?GX{,10,57,5,4
G?QPpw,10,58,5,4
GCOHJk,10,58,5,4
G?OXnO,10,58,5,4
G?@Xto,10,58,5,4
G?Og|c,10,58,5,4
G@IQO{,10,58,5,4
G?O\Bk,10,58,5,4
G?STH[,10,58,5,4
GoCYPK,10,58,5,4
G?CZD[,10,58,5,4
G?IQZo,10,58,5,4
G@AIXs,10,58,5,4
GA?H\k,10,58,5,4
G?`@js,10,58,5,4
G`?GZk,10,58,5,4
G?Sch[,10,58,5,4
G?Cp]o,10,58,5,4
G@?Y[s,10,58,5,4
G?WSJk,10,58,5,4
GGCO\[,10,58,5,4
G_?grk,10,58,5,4
G??xuo,10,58,5,4
G?`_xs,10,58,5,4
G?@crs,10,58,5,4
GGEPQ[,10,59,5,4
G?HSpw,10,59,5,4
G?AJbw,10,59,5,4
G@EAZW,10,59,5,4
G?YPa[,10,59,5,4
G??mpw,10,59,5,4
GAG_{w,10,59,5,4
G?OLhw,10,59,5,4
GGCsQ[,10,59,5,4
G??ZTw,10,59,5,4
GB?KW{,10,59,5,4
GGCSZW,10,59,5,4
GKCQXW,10,59,5,4
G?Cjcw,10,59,5,4
G??Nbw,10,59,5,4
G@KciW,10,59,5,4
GAGKg{,10,59,5,4
G?H_}c,10,59,5,4
GB?G^K,10,59,5,4
G@?]O{,10,59,5,4
GCCZRG,10,59,5,4
G?EaXs,10,59,5,4
GC?JJw,10,59,5,4
G@?G}[,10,59,5,4
G?J?zc,10,59,5,4
GA?H\w,10,59,5,4
G?DHlo,10,59,5,4
G@?Kyw,10,59,5,4
G?DcVc,10,59,5,4
GC?YX[,10,59,5,4
G?CeJw,10,60,5,4
G?D_|o,10,60,5,4
G?]RCK,10,60,5,3
GCOpUK,10,60,5,4
G?DFHw,10,60,5,4
G?@XvO,10,60,5,4
G@?MXw,10,60,5,4
G?C^@[,10,60,5,4
GECHZG,10,60,5,4
GqGOW[,10,60,5,3
GoKQG[,10,60,5,3
G?r@pg,10,60,5,3
GGCSX[,10,60,5,4
GA__x[,10,60,5,4
G_hPOk,10,60,5,3
G@@KrW,10,60,5,4
G?OXlK,10,60,5,4
G?ScnG,10,60,5,3
G_?@zw,10,60,5,4
G?o_xk,10,60,5,4
GACcZW,10,60,5,4
G?AZV_,10,60,5,3
G?CmfG,10,60,5,3
GEChQK,10,60,5,4
Gq?@W{,10,60,5,3
GKSPG[,10,60,5,4
G?O_|k,10,60,5,4
G?ERRW,10,60,5,4
G_hOpK,10,60,5,3
G_l@Gk,10,60,5,3
G`GO]K,10,60,5,4
G?B@vo,10,60,5,4
G@DcO{,10,60,5,4
GG@@{w,10,60,5,4
Go?Axw,10,60,5,3
G@?I\w,10,60,5,4
G@G]?{,10,60,5,4
G?Dcp[,10,60,5,4
G?Ospw,10,60,5,4
GA?g|S,10,60,5,4
G@D@]W,10,60,5,4
G@IQUK,10,60,5,3
G@MAG{,10,60,5,4
G?HSrW,10,60,5,4
G?LEHk,10,61,5,4
G?EBJs,10,61,5,4
G?`_zc,10,61,5,4
G?Opk[,10,61,5,4
G@@G|o,10,61,5,4
GG@_{s,10,61,5,4
G@`AXk,10,61,5,4
GGE?xw,10,61,5,4
G?F@pw,10,61,5,4
GEKIHK,10,61,5,4
GCHAXk,10,61,5,4
